ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,11,25,169,175,7,7,provisional,136.845123,1.4481797478610474,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.90350525213896,0.23436928811885815,8.778087656801926,6,1.4630146094669876,0.3245387007423256,173
0,11,26,169,175,7,7,provisional,138.895752,1.2064389342083075,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.7367579342083,0.2182280605032685,4.826383279232756,6,0.8043972132054593,0.33112920824034886,173
0,11,27,169,175,7,7,provisional,136.319,1.6118348894605674,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.70898111053944,0.23576135377562069,9.960433121002701,6,1.6600721868337835,0.314653562404131,173
0,11,28,169,175,7,7,provisional,138.233719,2.1408271806836865,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.1093941806837,0.22764794295992566,9.865919465575221,6,1.6443199109292035,0.31485996678150724,173
0,11,29,169,175,7,7,provisional,135.699448,0.87060842427843,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.62025157572157,0.25098427483427277,3.705023070627992,6,0.6175038451046654,0.31368006914174135,173
0,11,30,169,175,7,7,provisional,138.30188,1.4131929941117107,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.1953589941117,0.2431849294371408,4.969017713510066,6,0.8281696189183444,0.3379689647079732,173
0,11,31,169,175,7,7,provisional,136.44043,1.0085219640318712,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.54077896403186,0.2550740347391135,3.4792351400205397,6,0.5798725233367567,0.31954409538797635,173
0,12,1,169,175,7,7,provisional,137.793793,1.8864317196858167,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.96643371968582,0.26157117676443703,15.575525507190877,6,2.595920917865146,0.31428780862459904,173
0,12,2,169,175,7,7,provisional,130.038727,1.808572592699818,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.08227759269982,0.3473876216175391,17.08635101019846,6,2.8477251683664098,0.32532152583677293,173
0,12,3,169,175,7,7,provisional,129.479462,4.293919947748179,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.57800794774818,0.37140025041455077,8.932441452650227,6,1.4887402421083713,0.2823544595371173,173
0,12,4,169,175,7,7,provisional,133.693298,1.2297623396344193,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.91622433963443,0.19284103742231867,6.9083824905126505,6,1.1513970817521084,0.3358271511451385,173
0,12,5,169,175,7,7,provisional,134.393158,2.448081776930678,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.36408177693068,0.19126881016210526,10.04604039585863,6,1.6743400659764385,0.32983605296744534,173
0,12,6,169,175,7,7,provisional,132.573227,1.3137794034247463,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.07295459657524,0.17913970033726853,15.239054047586848,6,2.5398423412644746,0.334026397118197,173
0,12,7,169,175,7,7,provisional,131.645172,1.9210971275856537,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.85821487241435,0.18383608442077273,27.412180791960797,6,4.568696798660133,0.3155265141346289,173
0,12,8,169,175,7,7,provisional,135.166092,1.1231298042993956,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.1981118042994,0.16828981358563505,7.1145153008134425,6,1.1857525501355737,0.31999176285594405,173
0,12,9,169,175,7,7,provisional,134.903931,1.867612632095046,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.97584363209504,0.15729514193419106,26.985502247477516,6,4.497583707912919,0.3304311473850214,173
0,12,10,169,175,7,7,provisional,138.466522,1.1279234493071897,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.45683955069282,0.17712347472402137,6.42477843179274,6,1.07079640529879,0.321979595816295,173
0,12,11,169,175,7,7,provisional,139.345062,1.0751890062894347,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.05809900628944,0.16315606166099517,17.781359652831746,6,2.9635599421386245,0.3144242034354915,173
0,12,12,169,175,7,7,provisional,139.185928,0.73552703350623,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.85825396649378,0.1781261869949487,7.36406791777743,6,1.227344652962905,0.3232657584413387,173
0,12,13,169,175,7,7,provisional,138.461029,1.5829337348734498,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.14361773487346,0.17136923160279227,17.64268817723478,6,2.94044802953913,0.30634082731144985,173
0,12,14,169,175,7,7,provisional,137.199554,0.7127231260440112,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.28184487395598,0.17849140757160276,2.806780030758608,6,0.4677966717931013,0.3343668958557461,173
0,12,15,169,175,7,7,provisional,139.307663,0.6063514490457749,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.21274055095424,0.17399550365004404,5.228035407740611,6,0.8713392346234352,0.3165563407333206,173
0,12,16,169,175,7,7,provisional,142.009842,1.4050864021156428,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,142.03011740211565,0.17225969712756453,13.549643758301976,6,2.258273959716996,0.3244360519627328,173
0,12,17,169,175,7,7,provisional,138.633026,1.0390755313151203,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.66149653131512,0.16392108725559978,4.261406033383945,6,0.7102343388973242,0.313183078621967,173
0,12,18,169,175,7,7,provisional,139.186768,0.9370736977158174,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.1178136977158,0.1870141905343832,5.456473104587695,6,0.9094121840979491,0.3214188790160887,173
0,12,19,169,175,7,7,provisional,139.510315,2.233287619465557,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.60087938053445,0.18008794290697283,11.311799679102032,6,1.8852999465170053,0.3291780875123114,173
0,12,20,169,175,7,7,provisional,139.07077,1.0378188662369325,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.07439386623693,0.1774831955830136,7.8703133118596975,6,1.3117188853099495,0.32087060033890374,173
0,12,21,169,175,7,7,provisional,139.919876,1.8677217597231106,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.83683775972312,0.16760873382712962,12.396206898954992,6,2.0660344831591653,0.31979097054928957,173
0,12,22,169,175,7,7,provisional,136.213181,1.0330366433310303,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.31340164333102,0.17807357281557187,12.615645908908588,6,2.1026076514847647,0.323851699460059,173
0,12,23,169,175,7,7,provisional,138.797653,1.4399547825589423,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.88447721744106,0.17530216578544433,6.621775228178129,6,1.103629204696355,0.3164088790091892,173
0,12,24,169,175,7,7,provisional,140.879333,0.7371993514723556,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.60822864852764,0.18076451491807974,5.127718088642141,6,0.8546196814403569,0.3149719486916952,173
0,12,25,169,175,7,7,provisional,136.590714,2.1054459854280196,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.848075985428,0.20204779021158575,14.594333365627902,6,2.432388894271317,0.334600016988462,173
0,12,26,169,175,7,7,provisional,139.380386,0.8376461118577652,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.41239911185775,0.1974892011203775,2.6164447409073937,6,0.4360741234845656,0.32810294848659544,173
0,12,27,169,175,7,7,provisional,137.575256,2.6434152049019985,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.522016204902,0.20522702458584388,10.667334487363906,6,1.7778890812273176,0.315604798928475,173
0,12,28,169,175,7,7,provisional,138.601547,1.2105720533211297,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.70552105332112,0.21178063495934504,5.330135281522666,6,0.8883558802537777,0.30659272369136076,173
0,12,29,169,175,7,7,provisional,138.707916,1.0688138699926242,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.5477108699926,0.21791826763461955,9.664990044211967,6,1.610831674035328,0.31063899722508403,173
0,12,30,169,175,7,7,provisional,138.698776,2.025740534356828,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.59108046564316,0.22243887148724437,37.596550621292685,6,6.266091770215447,0.3122578596977892,173
0,12,31,169,175,7,7,provisional,138.136353,1.2255889513858165,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.42237504861419,0.24419433447226482,9.123908156989403,6,1.5206513594982338,0.3371294187189552,173
1,1,1,169,175,7,7,provisional,134.375076,1.400713308694634,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.39158830869462,0.298262862912595,4.803142573987343,6,0.8005237623312239,0.31401168506941757,173
1,1,2,169,175,7,7,provisional,131.775803,2.0201156618177265,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.01526933818226,0.36623160669245747,6.831353751297579,6,1.1385589585495965,0.3942668253342421,173
1,1,3,169,175,7,7,provisional,135.493301,3.072512598930132,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.48104540106988,0.31064481063872257,33.970111981363466,6,5.661685330227244,0.33124746216211487,173
1,1,4,169,175,7,7,provisional,133.688507,3.5599701491599944,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.01356814916,0.28101358535949134,9.177128092497593,6,1.5295213487495989,0.34175969487708696,173
1,1,5,169,175,7,7,provisional,133.597092,1.0678175524573987,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.5560375524574,0.2722563585435518,2.1755482561076853,6,0.36259137601794755,0.33204189247840266,173
1,1,6,169,175,7,0,manual_review,,,,,,insufficient_points,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,,,,,,,
1,1,7,169,175,7,7,provisional,139.834213,2.754535705094611,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.87446229490538,0.23536419518343699,8.077660709909951,6,1.346276784984992,0.33161268774731023,173
1,1,8,169,175,7,7,provisional,137.377518,2.656791790908869,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.17987879090887,0.25955469574028617,5.765935729119596,6,0.9609892881865992,0.34050717749078746,173
1,1,9,169,175,7,7,provisional,134.462158,1.2197945333350617,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.59456746666493,0.24686923159291205,2.7456710241022186,6,0.45761183735036975,0.33092521884462767,173
1,1,10,169,175,7,7,provisional,137.949448,0.7263801389394473,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.97032213893945,0.2145952506437483,2.4171004996986514,6,0.40285008328310856,0.31935044084400366,173
1,1,11,169,175,7,7,provisional,137.208832,1.4393787403240026,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.425172740324,0.2116047692300881,6.487298680595687,6,1.081216446765948,0.3441605023620714,173
1,1,12,169,175,7,7,provisional,137.017227,1.800807519779454,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.12958851977945,0.22022327064075364,21.23532324615176,6,3.5392205410252937,0.3486224312611754,173
1,1,13,169,175,7,7,provisional,137.71991,1.0422041253602856,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.80673012536027,0.24990269590747993,8.253033479768662,6,1.3755055799614437,0.3503808801476861,173
1,1,14,169,175,7,7,provisional,137.646042,2.0160783292890585,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.34428867071094,0.2289489495437791,16.320279450696656,6,2.7200465751161094,0.3348468278530717,173
1,1,15,169,175,7,7,provisional,137.919418,1.1100129743605862,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.22909297436058,0.22296744582495617,9.174613143662134,6,1.5291021906103557,0.30928496494709773,173
1,1,16,169,175,7,7,provisional,137.175934,0.8248621669044383,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.09732316690443,0.2115690629685647,3.94452322194025,6,0.6574205369900417,0.3025283489817842,173
1,1,17,169,175,7,7,provisional,134.736526,3.752883684015927,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.79090868401593,0.22336838603341266,15.725550193086637,6,2.620925032181106,0.3259211253438862,173
1,1,18,169,175,7,7,provisional,137.045197,0.9370816279295013,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.3316586279295,0.22668826735440853,8.272906751432531,6,1.3788177919054219,0.3138363828687343,173
1,1,19,169,175,7,7,provisional,136.97403,1.4773846062299754,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.32761960622997,0.21727158203483682,9.166011886917437,6,1.5276686478195727,0.3202826617776351,173
1,1,20,169,175,7,7,provisional,137.405701,1.0282600552066299,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.65074094479337,0.22572365165476055,7.850251119611396,6,1.3083751866018993,0.3131367392121211,173
1,1,21,169,175,7,7,provisional,133.716507,1.0776542892016323,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.08320371079836,0.24814459301302727,6.99007904670957,6,1.165013174451595,0.32438623961530927,173
1,1,22,169,175,7,7,provisional,138.125336,0.7764607803969739,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.29516778039698,0.2302968303193025,2.32090211492747,6,0.38681701915457833,0.3146677762690519,173
1,1,23,169,175,7,7,provisional,136.863464,0.7325531638921632,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.85066783610785,0.23388007374965097,3.0984168428177306,6,0.5164028071362884,0.3176408121041257,173
1,1,24,169,175,7,7,provisional,141.087997,1.3424679794895837,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,141.29788197948957,0.23992036942038297,13.450579672084132,6,2.2417632786806885,0.2983299536516324,173
