day,ew,pp,tt,mpv,mpv_error,auto_flag,source,source_stage,source_file,in_primary_range
176,0,7,7,130.696182,0.57873,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,8,133.302475,0.542364,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,9,130.217438,0.512921,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,10,136.554123,0.604609,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,11,138.283463,0.588498,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,12,135.291809,0.555372,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,13,135.326904,0.589597,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,14,139.324234,0.55953,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,15,135.419159,0.559947,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,16,136.864532,0.54256,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,17,135.923553,0.561022,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,18,138.066177,0.561966,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,19,136.26265,0.527104,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,20,137.98761,0.59558,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,21,135.763397,0.618634,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,22,138.893524,0.558818,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,23,136.586975,0.607988,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,24,134.841599,0.553206,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,25,131.132797,0.576173,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,26,135.891052,0.557243,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
