day,ew,pp,tt,reference_mpv,reference_mpv_error,auto_flag,source,source_stage,source_file,period_start,period_end
169,0,6,12,138.170859,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,13,138.655655,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,14,138.706091,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,15,141.309126,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,16,138.233526,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,17,139.143411,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,18,137.691067,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,19,136.107684,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,20,138.995565,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,21,138.233915,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,22,141.389342,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,23,137.559938,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,24,137.442082,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,25,136.897337,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,26,136.344286,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,27,133.770079,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,28,139.822372,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,29,135.536427,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,6,30,134.251348,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
