ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,7,10,176,182,7,7,provisional,136.201752,1.0595857950617926,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.01466379506178,0.20509243833855473,9.495725321501675,6,1.5826208869169458,0.2253207159864972,181
0,7,11,176,182,7,7,provisional,137.604202,2.676760522698771,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.71289352269878,0.2136400367810561,21.051086333656247,6,3.5085143889427077,0.20920298082133187,182
0,7,12,176,182,7,7,provisional,134.318069,0.9395745027781288,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.35223449722187,0.1982114685602356,6.591030394632574,6,1.0985050657720956,0.22548049012650279,181
0,7,13,176,182,7,7,provisional,136.04158,1.107469114217139,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.79318411421713,0.21495631620511857,3.4489897925820743,6,0.5748316320970124,0.21575768487523736,181
0,7,14,176,182,7,7,provisional,138.944717,0.8702278382989448,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.94031183829895,0.20228832913614758,7.929924254798913,6,1.3216540424664855,0.2130502015870211,181
0,7,15,176,182,7,7,provisional,135.443665,0.9943696908553932,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.6956633091446,0.20478018097474784,5.530394849693576,6,0.9217324749489294,0.2119486554375277,181
0,7,16,176,182,7,7,provisional,136.965332,1.1641240208436159,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.1434319791564,0.19473599031527622,11.290128351625565,6,1.8816880586042608,0.21813561258530628,181
0,7,17,176,182,7,7,provisional,135.760956,1.570095190965361,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.39256680903463,0.19840888027815815,13.884363141509281,6,2.3140605235848803,0.22006466483640316,182
0,7,18,176,182,7,7,provisional,136.730362,1.213159403860118,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.8530175961399,0.20701437681476997,11.477830287801398,6,1.9129717146335663,0.2091245258984358,181
0,7,19,176,182,7,7,provisional,136.151443,1.080160351513939,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.98631835151394,0.1906340207712809,8.29297103248768,6,1.3821618387479466,0.21421449953114086,182
0,7,20,176,182,7,7,provisional,137.561951,0.8380811806570421,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.57344818065704,0.20602060886518753,6.515904843654712,6,1.0859841406091186,0.22007155537713952,181
0,7,21,176,182,7,7,provisional,135.763397,2.299828784178146,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.78363721582184,0.22238942997871092,18.486002866269505,6,3.081000477711584,0.2252959969794582,182
0,7,22,176,182,7,7,provisional,138.616684,0.830413793245043,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.54980479324504,0.20265121724733282,7.423035374057791,6,1.237172562342965,0.21085472711207004,181
0,7,23,176,182,7,7,provisional,135.512238,0.7743002723445045,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.8126747276555,0.21564412674497074,6.1653677690624,6,1.0275612948437334,0.20910504561349022,182
0,7,24,176,182,7,7,provisional,134.795639,1.3574974266463187,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.5107114266463,0.20149077633834736,8.332646858429623,6,1.3887744764049372,0.21657422348372998,182
0,7,25,176,182,7,7,provisional,131.132797,1.5647306591970676,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.06235065919708,0.20556562257884747,8.464410490794439,6,1.4107350817990731,0.21963139044282867,181
0,7,26,176,182,7,7,provisional,135.891052,1.28782044131367,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86847844131367,0.19638192808420588,14.735436226804472,6,2.4559060378007453,0.22051234379335038,181
0,7,27,176,182,7,7,provisional,134.341095,1.9088526314227465,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.36299963142275,0.21901094792716888,13.123761278493534,6,2.187293546415589,0.21134845805660052,182
0,7,28,176,182,7,7,provisional,137.370529,1.283456666674681,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.5122743333253,0.2175790014867586,11.52989773283292,6,1.92164962213882,0.22233084399970712,181
0,7,29,176,182,7,7,provisional,135.330338,1.451839690701064,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.17651730929893,0.23355328346174897,6.810653168082526,6,1.1351088613470877,0.21341578793810476,182
0,7,30,176,182,7,7,provisional,136.849075,1.568824716467816,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.61443371646783,0.23136702024535802,16.11816547949058,6,2.6863609132484303,0.2315646074850714,182
0,7,31,176,182,7,7,provisional,129.631577,1.3874269809127782,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.66458798091278,0.2580380201150203,4.313000857322632,6,0.7188334762204387,0.22803896072951257,181
0,8,1,176,182,7,7,provisional,134.143066,1.6580612854190804,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.21630428541908,0.2719784606797327,9.166594202373897,6,1.5277657003956495,0.19769787521910698,181
0,8,2,176,182,7,7,provisional,128.17305,1.2501666275325363,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.26284937246746,0.34235566919738886,6.407629570088103,6,1.0679382616813504,0.19346226179889786,182
