rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
75,2,0,5,20,176,182,7,7,provisional,133.018417,2.8113366605120973,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.2142606605121,0.18476554595642528,35.01778198903424,6,5.836296998172373,0.22047040431243567,182
76,2,0,2,22,176,182,7,7,provisional,135.977585,1.9130110478699578,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.79324504786996,0.18584951624800905,34.68577887033196,6,5.780963145055327,0.2117306670360287,181
77,2,1,1,25,176,182,7,7,provisional,135.542557,2.157075565089883,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.61136056508988,0.25275252919924013,33.6286904857739,6,5.604781747628984,0.22585379454869384,181
78,2,0,3,24,176,182,7,7,provisional,136.364029,2.1122177035423135,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.0980727035423,0.2136902696324714,33.42540305442692,6,5.570900509071154,0.21917867380276287,182
79,2,0,5,30,176,182,7,7,provisional,133.992584,1.931585923349786,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.54126592334978,0.20625623015897385,33.274007237580626,6,5.545667872930104,0.23449721585393532,181
80,2,1,12,18,176,182,7,7,provisional,133.622467,2.732551596162807,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.76537359616282,0.2837259591845242,33.259588356870616,6,5.543264726145103,0.2106505634357988,181
81,2,1,6,23,176,182,7,7,provisional,133.172577,2.4429703454767377,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.48436734547673,0.25429433410109353,33.143855489221366,6,5.523975914870228,0.22666406723900834,182
82,2,1,4,23,176,182,7,7,provisional,139.72403,2.3486267808276864,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.4063197808277,0.2453587876875316,32.531718607487406,6,5.421953101247901,0.21889197282556033,182
83,2,1,6,24,176,182,7,7,provisional,136.494827,1.9758611335900298,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.76823513359003,0.22054784286123386,32.52353286167232,6,5.42058881027872,0.24181576297185342,182
84,2,1,6,20,176,182,7,7,provisional,135.032486,1.7168380663463836,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.93674193365362,0.2132772069098724,32.445013980944964,6,5.407502330157494,0.22128926242246624,181
