rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
40,2,0,12,31,162,168,7,7,provisional,134.176559,2.2585725335644042,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.2525305335644,0.21018115339590432,56.585127523584816,6,9.430854587264136,0.34439947548054695,168
41,2,1,11,9,162,168,7,7,provisional,130.015259,3.581859488496633,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.14583148849664,0.18689437170361475,56.10880599574683,6,9.351467665957804,0.389865826417701,168
42,2,0,3,1,162,168,7,7,provisional,130.845825,8.903355632950394,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.7607063670496,0.2868764466424251,54.425401552399734,6,9.070900258733289,0.32736053635650064,168
43,2,0,8,30,162,168,7,7,provisional,133.132492,2.6313402886250685,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.45694728862506,0.20010877155617698,53.699135300297044,6,8.94985588338284,0.35736485413030117,168
44,2,0,6,20,162,168,7,7,provisional,135.910873,3.2768063202196345,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.70687532021964,0.17993646117417506,53.58050234815042,6,8.930083724691736,0.38538227879952064,168
45,2,1,4,21,162,168,7,7,provisional,140.955902,5.988827722611916,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,141.50654272261193,0.23937114240376908,53.579994048356106,6,8.929999008059351,0.34670362696096585,168
46,2,1,2,30,162,168,7,7,provisional,131.996719,2.6839379641820074,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.326546964182,0.2175547184084496,53.34150571240528,6,8.890250952067547,0.31752169598113855,168
47,2,0,8,24,162,168,7,7,provisional,134.112167,3.0688431484897194,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.13944514848973,0.18800447062139727,53.15865654153559,6,8.859776090255933,0.3721846478441445,168
48,2,0,11,23,162,168,7,7,provisional,130.476852,3.363023835118213,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.3374808351182,0.19993295121611654,52.39432699740364,6,8.732387832900606,0.36965970759823263,168
49,2,1,1,29,162,168,7,7,provisional,135.089279,3.7104803333919563,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.62612866660805,0.2338715596403879,51.23320397536103,6,8.538867329226838,0.33227175608054643,168
50,2,0,5,24,162,168,7,7,provisional,132.88974,3.5254675325232654,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.96827646747673,0.18181211381597165,50.83945773244023,6,8.473242955406706,0.3679616794945247,168
51,2,0,6,30,162,168,7,7,provisional,129.085083,2.9482918053453773,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.93526880534537,0.20997393224655578,50.17220260219614,6,8.36203376703269,0.36649444745048676,168
52,2,0,1,26,162,168,7,7,provisional,130.832565,2.484659415908311,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.6367134159083,0.21776318639895817,49.7017367553539,6,8.283622792558983,0.37483089720226276,168
53,2,0,9,27,162,168,7,7,provisional,134.337006,3.154929288896085,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7425752888961,0.19168356287925017,49.440060675100554,6,8.240010112516758,0.35833714356713386,168
54,2,0,5,27,162,168,7,7,provisional,131.160263,3.218866589153805,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.7338205891538,0.19727318102450864,48.77003050431751,6,8.128338417386251,0.3557129076837168,168
55,2,1,8,16,162,168,7,7,provisional,133.393707,3.455900216341405,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.7748542163414,0.21138300088056144,48.310868767403704,6,8.051811461233951,0.3588969115993951,168
56,2,0,2,20,162,168,7,7,provisional,136.84404,2.0827932082042935,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.11311220820429,0.1848187681758989,48.03557751303264,6,8.00592958550544,0.3788382234837909,168
57,2,1,10,31,162,168,7,7,provisional,133.264526,3.411905850737867,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.07088685073788,0.30138252395038956,47.51126676062123,6,7.918544460103539,0.34687232504881144,168
58,2,0,10,24,162,168,7,7,provisional,133.188431,3.437941799748529,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.51550179974853,0.1942879366530781,47.34449220589493,6,7.890748700982488,0.3766337508137774,168
59,2,0,9,26,162,168,7,7,provisional,135.518341,3.514227201194416,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86418720119443,0.18481641799496362,46.62980882350169,6,7.771634803916949,0.36465258921142657,168
60,2,0,12,24,162,168,7,7,provisional,137.022522,2.731489313296038,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.54080031329605,0.1791363620718518,46.52816504316454,6,7.754694173860757,0.35936082984974027,168
61,2,1,2,25,162,168,7,7,provisional,131.198166,2.743455768482505,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.4082507684825,0.2594458782422118,46.345465431073265,6,7.7242442385122105,0.33596346334858673,168
62,2,0,8,28,162,168,7,7,provisional,131.937347,3.595418708685287,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.2904612913147,0.20013042792753444,46.231720876111396,6,7.705286812685233,0.35310196561059787,168
63,2,0,11,1,162,168,7,7,provisional,130.64563,3.99538412330719,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.51761587669282,0.2900449507703287,46.101185217889665,6,7.683530869648277,0.3199686456852395,168
64,2,0,11,28,162,168,7,7,provisional,134.118225,2.7753187420745746,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.70886674207458,0.2042998765516558,46.04961568371618,6,7.674935947286031,0.3558801969271875,168
65,2,0,12,6,162,168,7,7,provisional,130.730331,3.1026241983576597,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.91335419835767,0.17463369482982471,45.90199353556644,6,7.65033225592774,0.38908312758166486,168
66,2,0,9,1,162,168,7,7,provisional,133.591507,4.5063294793231705,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.79447647932318,0.25874283437816564,45.55963794672129,6,7.593272991120215,0.31450980838036713,168
67,2,0,3,25,162,168,7,7,provisional,135.545715,4.078058558300853,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.39765355830085,0.20039752594057228,45.25617444267573,6,7.5426957404459545,0.37274539607595797,168
68,2,0,4,4,162,168,7,7,provisional,130.285416,2.739127669970628,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.33368666997063,0.19771737940459405,45.069298877744274,6,7.511549812957379,0.3608711076022765,168
69,2,0,12,23,162,168,7,7,provisional,135.704086,1.6759718933044496,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.29283889330446,0.17223002015179315,44.818352797459085,6,7.4697254662431805,0.37849204939591896,168
70,2,0,11,19,162,168,7,7,provisional,130.450409,2.088166404786591,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.25889740478658,0.18794820963434222,44.670121757511254,6,7.445020292918542,0.3784227127795305,168
71,2,0,7,31,162,168,7,7,provisional,127.79422,3.1502133849389082,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.1501293849389,0.22481291794861738,44.51062568538377,6,7.418437614230629,0.35427218603177113,168
72,2,0,2,31,162,168,7,7,provisional,132.003082,1.7670619500576379,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.87248495005764,0.20450370863464998,44.39564427773168,6,7.399274046288613,0.3560249175344458,168
73,2,0,3,22,162,168,7,7,provisional,135.19371,1.6109377081411367,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.12757229185885,0.19021295070655497,44.36061820430221,6,7.3934363673837025,0.3748707287855011,168
74,2,0,4,8,162,168,7,7,provisional,132.54509,3.5585269348739814,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.99230393487397,0.1626003684440219,44.13570257484625,6,7.355950429141042,0.3943528802317715,168
75,2,1,3,6,162,168,7,7,provisional,134.742554,3.7125211010999237,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.18711510109992,0.2135144228566009,43.945293923415456,6,7.324215653902576,0.37881817806986634,168
76,2,1,2,29,162,168,7,7,provisional,133.545364,4.947887249172027,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.04220224917202,0.22448865482699173,43.7771005511847,6,7.296183425197451,0.3426575643198592,168
77,2,1,6,31,162,168,7,7,provisional,133.758209,2.8784521216330745,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.70425087836693,0.2125536466029416,43.655691983480516,6,7.275948663913419,0.31642659740132706,168
78,2,0,10,7,162,168,7,7,provisional,130.287796,5.215266647862364,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.50502435213764,0.17790961487779366,43.404702097612955,6,7.234117016268826,0.3812711453301105,168
79,2,0,5,16,162,168,7,7,provisional,131.286652,4.176180183710983,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.348340816289,0.16945496451886385,43.166913172294734,6,7.194485528715789,0.3673559449131073,168
80,2,0,8,27,162,168,7,7,provisional,133.363434,1.804240705296479,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.04583270529648,0.18709965356640385,43.02328750951909,6,7.170547918253182,0.35758268445213315,168
81,2,0,11,17,162,168,7,7,provisional,131.579376,3.507587223159476,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.2768892231595,0.19210784460026942,42.96135338554282,6,7.160225564257137,0.3727812413742738,168
