ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,2,30,162,168,7,7,provisional,133.7034,2.178973766114126,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.86043176611412,0.19421819178615643,39.95064115458167,6,6.658440192430278,0.3723607043129086,168
0,2,31,162,168,7,7,provisional,132.003082,1.7670619500576379,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.87248495005764,0.20450370863464998,44.39564427773168,6,7.399274046288613,0.3560249175344458,168
0,3,1,162,168,7,7,provisional,130.845825,8.903355632950394,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.7607063670496,0.2868764466424251,54.425401552399734,6,9.070900258733289,0.32736053635650064,168
0,3,2,162,168,7,7,provisional,126.674675,7.546363379401868,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,127.28493437940186,0.25481474233012336,60.40797733142548,6,10.067996221904247,0.37191672221097655,168
0,3,3,162,168,7,7,provisional,128.669083,1.7266930094319832,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.52740600943199,0.2543166248100107,11.199713024942035,6,1.8666188374903392,0.3337777006949161,168
0,3,4,162,168,7,7,provisional,131.069443,3.8972369924240837,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.08935999242408,0.18874428296899995,61.50129461910847,6,10.250215769851412,0.35959706138406233,168
0,3,5,162,168,7,7,provisional,131.492447,3.253786063128203,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.9952030631282,0.1705052701522305,56.909963857737424,6,9.484993976289571,0.35421157019252364,168
0,3,6,162,168,7,7,provisional,131.609192,2.2963151801973254,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.89766418019732,0.17067781274353994,58.29126512062176,6,9.71521085343696,0.38056601020822156,168
0,3,7,162,168,7,7,provisional,127.993805,1.5281030546531014,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.6121870546531,0.16771822429451572,25.477581034755755,6,4.2462635057926255,0.3822498915367736,168
0,3,8,162,168,7,7,provisional,129.647308,2.8184980787201113,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.75762307872012,0.1684461934733599,66.0129810525109,6,11.002163508751815,0.39485028356456797,168
0,3,9,162,168,7,7,provisional,130.536926,2.044877881606908,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.8584608816069,0.1685581799110174,25.541821810829433,6,4.256970301804905,0.3864613582376695,168
0,3,10,162,168,7,7,provisional,137.877029,2.105197933306613,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.98512693330662,0.183404455453979,23.84797163454814,6,3.974661939091357,0.38955463272244717,168
0,3,11,162,168,7,7,provisional,139.809128,2.2521350289544273,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.17015002895442,0.18594702373187266,6.341314137055864,6,1.0568856895093106,0.3902897236361441,168
0,3,12,162,168,7,7,provisional,138.701996,2.021130914143498,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.5364359141435,0.18382754057637082,21.84230786393348,6,3.6403846439889134,0.39125545207638196,168
0,3,13,162,168,7,7,provisional,136.474503,2.569918261763462,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.74136626176346,0.18587196945512216,9.999604371851817,6,1.6666007286419695,0.37921267927419955,168
0,3,14,162,168,7,7,provisional,137.920013,3.298457874829012,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.890873125171,0.18102183622590143,15.877892715848102,6,2.64631545264135,0.38881581745948157,168
0,3,15,162,168,7,7,provisional,137.797211,2.4411183298697097,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.7706426701303,0.18815570056287434,15.185572103475417,6,2.5309286839125695,0.3874963875123127,168
0,3,16,162,168,7,7,provisional,135.940735,1.6816635572584744,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.37448855725847,0.17668953146453373,30.597455797838368,6,5.099575966306395,0.3881531006583505,168
0,3,17,162,168,7,7,provisional,136.532532,3.230031243923605,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.5372062439236,0.17832825080412004,30.08397443616451,6,5.013995739360752,0.38141636389034234,168
0,3,18,162,168,7,7,provisional,135.195023,2.6458416350154437,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.03108436498457,0.18113941549782767,11.666731711923209,6,1.9444552853205348,0.3886567617902003,168
0,3,19,162,168,7,7,provisional,134.860123,1.1272784893123458,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.37215651068766,0.18122180383600373,25.60284302482474,6,4.267140504137457,0.3762881391145965,168
0,3,20,162,168,7,7,provisional,131.489136,2.3632644281324247,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.14600942813243,0.18093896662124181,22.623921958543185,6,3.7706536597571976,0.3754829867591708,168
0,3,21,162,168,7,7,provisional,134.060944,1.1761484939839022,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.5598464939839,0.17840846615196124,14.879326110641614,6,2.479887685106936,0.36302252259609324,168
0,3,22,162,168,7,7,provisional,135.19371,1.6109377081411367,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.12757229185885,0.19021295070655497,44.36061820430221,6,7.3934363673837025,0.3748707287855011,168
0,3,23,162,168,7,7,provisional,134.676651,3.6766762791030203,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.86207027910302,0.1818013241284512,78.28339294442983,6,13.047232157404972,0.3627848417752529,168
